experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03162017	A01	1	0.679004737	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A02	1	1.643079195	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A03	1	0.403476409	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A04	0	0.999287336	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A05	1	0.326588582	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A06	1	1.666853898	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A07	1	1.384524374	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A08	1	1.487713263	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A09	1	1.565663717	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A10	1	1.259191477	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A11	1	0.315129749	1	19098	18522	18505	18520	50000	50	NA	1
03162017	A12	1	1.436551763	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B01	1	1.703749357	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B02	1	0.596187761	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B03	1	2.021666129	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B04	1	0.206908344	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B05	1	1.08678321	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B06	0	0.335804232	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B07	1	1.497688983	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B08	1	0.451070754	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B09	1	1.849739769	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B10	1	1.553552701	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B11	1	1.980001549	1	19098	18522	18505	18520	50000	50	NA	1
03162017	B12	1	1.484535969	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C01	1	0.656234873	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C02	1	1.70504834	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C03	1	1.533677283	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C04	1	1.46990324	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C05	1	1.334877274	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C06	1	1.665490465	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C07	1	1.641278886	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C08	1	0.529290318	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C09	1	1.325362388	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C10	1	1.710408634	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C11	1	0.911369604	1	19098	18522	18505	18520	50000	50	NA	1
03162017	C12	1	0.916221464	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D01	1	2.284311742	0	19098	18522	18505	18520	50000	50	NA	1
03162017	D02	1	0.241563476	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D03	1	1.080327462	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D04	1	0.806358968	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D05	1	0.312010077	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D06	1	1.185771287	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D07	1	0.156624483	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D08	1	0.115705253	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D09	1	0.359223276	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D10	1	0.859781729	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D11	1	1.090273022	1	19098	18522	18505	18520	50000	50	NA	1
03162017	D12	1	1.065750382	1	19098	18522	18505	18520	50000	50	NA	1
03162017	E01	1	0.103334314	1	19098	18522	18505	18520	50000	50	NA	1
03162017	E02	1	0.100790358	1	19098	18522	18505	18520	50000	50	NA	1
03162017	E03	1	0.184662128	1	19098	18522	18505	18520	50000	50	NA	1
