experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	ERCC	index
10302017	A01	1	0.761234931	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A02	1	0.649177855	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A03	1	1.717359167	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A04	1	1.303445407	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A05	2	1.179472994	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A06	1	0.91331545	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A07	1	1.000665608	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A08	1	0.020356366	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A09	1	0.163601332	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A10	1	1.967004988	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A11	1	0.11090246	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	A12	1	0.164437326	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B01	1	0.838543903	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B02	1	0.228701652	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B03	1	0.166664105	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B04	1	1.476304529	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B05	1	0.200418695	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B06	1	0.351685129	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B07	1	1.117439482	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B08	1	1.462376923	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B09	1	0.957295902	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B10	1	1.546399965	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B11	1	1.177789094	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	B12	1	0.248311841	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C01	1	2.67325332	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C02	1	0.503235643	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C03	1	0.820272542	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C04	1	0.780299292	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C05	1	0.692903637	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C06	1	1.695075329	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C07	1	0.906337843	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C08	1	0.891424396	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C09	1	1.133865244	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C10	1	0.321104461	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C11	1	0.555835975	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	C12	1	1.483710522	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D01	1	1.589630051	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D02	1	2.036360287	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D03	1	2.628675086	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D04	1	1.731007279	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D05	1	3.293618685	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D06	1	1.39311021	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D07	1	0.177224362	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D08	1	0.803439809	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D09	1	2.444612142	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D10	1	0.28848164	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D11	1	3.031353164	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	D12	1	1.701577949	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E01	1	2.936736494	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E02	1	0.316304771	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E03	1	1.949532502	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E04	1	1.633962069	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E05	1	0.641440641	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E06	1	1.116785547	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E07	1	1.143114962	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E08	1	3.212661554	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E09	1	0.446682887	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E10	1	0.46938271	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E11	1	0.784413882	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	E12	1	2.26688066	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F01	1	0.282134478	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F02	1	0.129116083	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F03	1	1.39329235	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F04	1	0.270243049	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F05	1	1.127924324	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F06	1	0.538256501	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F07	1	0.890212755	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
10302017	F08	1	0.286616648	1	NA18855	NA19099	NA19144	NA19160	1:50000	4
