date	c1_batch	flow_cell_num	md5file	path	n_cells	notes
170726	b1	fc1	NA	170726_700819F_0567_ACAN5CACXX-YG-PYT		1 sample was corrupted and had to be re-demultiplexed
171013	b1	fc2	YG-PYT-171013.md5	171013_700819F_0577_ACAWPAACXX-YG-PYT-Flowcell-C		
171017	b1	fc3	YG-PYT-171017.md5	171017_700819F_0578_ACAWT4ACXX-YG-PYT-Flowcell-B		
171020	b1	fc4	YG-PYT-171020.md5	171020_700819F_0579_ACAPCDACXX-YG-PYT-Flowcell-A		
171023	b2	fc1	YG-PYT-171023.md5	171023_700819F_0580_ACAWAWACXX-YG-PYT-Flowcell-4/		
171026	b2	fc2	YG-PYT-171026.md5	171026_700819F_0581_ACAWAPACXX-YG-PYT-Flowcell-5	672	1 lane was other samples
171119	b2	fc3	YG-PYT-ReSEQ2-3.md5	171119_700819F_0585_ACANN5ACXX-YG-PYT-ReSEQ-2-3	768	
171201	b2	fc4	YG-PYT-ReSEQ-2-4.md5	171201_700819F_0590_ACBJ61ACXX-YG-PYT-ReSEQ-2-4	768	
171204	b2	fc5	YG-PYT-ReSEQ-2-5.md5	171204_700819F_0591_ACBJDAACXX-YG-PYT-ReSEQ-2-5	960	Lanes 2 and 8 had 2 C1 chips each
171208	b3	fc1	YG-PYT-ReSEQ-3-1.md5	171208_700819F_0592_ACBJ2LACXX-YG-PYT-ReSEQ-3-1	768	
171212	b3	fc2	YG-PYT-ReSEQ-3-2.md5	171212_700819F_0593_ACBJ2FACXX-YG-PYT-ReSEQ-3-2	768	
171223	b4	fc1	YG-PYT-ReSEQ4-1.md5	171223_700819F_0596_ACBJ05ACXX-YG-PYT-ReSEQ4-1	768	
180124	b4	fc2	YG-PYT-ReSEQ4-2.md5	180124_700819F_0599_ACBJBNACXX-YG-PYT-ReSEQ4-2	768	
171229	b5	fc1	YG-PYT-ReSEQ5-1.md5	171229_700819F_0597_ACBJBKACXX-YG-PYT-ReSEQ5-1	768	
180103	b5	fc2	YG-PYT-ReSEQ5-2.md5	180103_700819F_0598_ACC19CACXX-YG-PYT-ReSEQ5-2	768	
