name	type	checksum	instrument	read_length	library
02192018-A01-NA18517.fastq.gz	fastq	9ebd54b75b75869bc11b6f43c9986b4a	HiSeq 2500	50	single
02192018-A02-NA18913.fastq.gz	fastq	62103ec0698b6b6d9343305a9ffc3c6e	HiSeq 2500	50	single
02192018-A03-NA19210.fastq.gz	fastq	fd696d8b682b920f0a45efdde227ec17	HiSeq 2500	50	single
02192018-A04-NA18913.fastq.gz	fastq	a01f9e4bc04e470ff28c97efddf5ea0c	HiSeq 2500	50	single
02192018-A05-NA19193.fastq.gz	fastq	add3a616befcf515263dd80139482b3a	HiSeq 2500	50	single
02192018-A06-NA19193.fastq.gz	fastq	4116651bab2a2c101c74a978d04f862a	HiSeq 2500	50	single
02192018-A07-NA18913.fastq.gz	fastq	2ef1961a923efd7fea088800eac28712	HiSeq 2500	50	single
02192018-A08-NA18913.fastq.gz	fastq	3340aa2ec3091e3eaf881b2438d0be83	HiSeq 2500	50	single
02192018-A09-NA19193.fastq.gz	fastq	82afd8432747c002c302fe068a5e7de9	HiSeq 2500	50	single
02192018-A10-NA18517.fastq.gz	fastq	b011f3522a64a602a499dcdaa9b51515	HiSeq 2500	50	single
02192018-A11-NA18913.fastq.gz	fastq	98d659dbd6b4e9bbe124d86080775368	HiSeq 2500	50	single
02192018-A12-NA19210.fastq.gz	fastq	ce4678c63238c6d17213e61f159e0957	HiSeq 2500	50	single
02192018-B01-NA18517.fastq.gz	fastq	a675656dcc3e374ac8c41e2e0f3a4d40	HiSeq 2500	50	single
02192018-B02-NA19210.fastq.gz	fastq	45fa3e294a3bbfe21647fc79ab40db47	HiSeq 2500	50	single
02192018-B03-NA18517.fastq.gz	fastq	8dcae96c5d0fa1dcbbf16129d37f1dd4	HiSeq 2500	50	single
02192018-B04-NA19193.fastq.gz	fastq	6ed52f8a9be36e89f8753e24a270a296	HiSeq 2500	50	single
02192018-B05-NA18517.fastq.gz	fastq	089d78535fc95501304566ecda499aca	HiSeq 2500	50	single
02192018-B06-NA18517.fastq.gz	fastq	5d12d5e633d256b10d97663e12daacfc	HiSeq 2500	50	single
02192018-B07-NA19210.fastq.gz	fastq	8a22759e53f680543f0abcc695cc3399	HiSeq 2500	50	single
02192018-B08-NA19193.fastq.gz	fastq	5dfe4b8185da27a826008f84e90ceabe	HiSeq 2500	50	single
02192018-B09-NA18517.fastq.gz	fastq	809381ce062decd4add5a763fccec1be	HiSeq 2500	50	single
02192018-B10-NA18913.fastq.gz	fastq	1eb47b6ae42bc5769334ba1b244c870b	HiSeq 2500	50	single
02192018-B11-NA19193.fastq.gz	fastq	fb6b1edb9850288bc8a067b045b0df2e	HiSeq 2500	50	single
02192018-B12-NA18913.fastq.gz	fastq	54ddd6f0e4698066db68555887f18864	HiSeq 2500	50	single
02192018-C01-NA18913.fastq.gz	fastq	d30e1a863fa14a5be0c581d46b5e9b53	HiSeq 2500	50	single
02192018-C02-NA19210.fastq.gz	fastq	5eb8c9044cacef8a5011a57fdc5f0eb1	HiSeq 2500	50	single
02192018-C03-NA18913.fastq.gz	fastq	9298f6e7ef7bd9a0d08f6806e10c7889	HiSeq 2500	50	single
02192018-C04-NA19193.fastq.gz	fastq	48483ea00fcd277d86cb2a218d925570	HiSeq 2500	50	single
02192018-C05-NA19193.fastq.gz	fastq	b5bbf43e82c17bfc6547a3037c67565c	HiSeq 2500	50	single
02192018-C06-NA19193.fastq.gz	fastq	adfb0c0d7d31f0b7f0e44be0b8b50d67	HiSeq 2500	50	single
02192018-C07-NA18517.fastq.gz	fastq	a7eab2814dfd4d2b2969207b139302f3	HiSeq 2500	50	single
02192018-C08-NA19193.fastq.gz	fastq	893fea1aabfe9b90da19c9c4227a774d	HiSeq 2500	50	single
02192018-C09-NA19210.fastq.gz	fastq	a36b523b863e901dd51594b125d90f1f	HiSeq 2500	50	single
02192018-C10-NA18913.fastq.gz	fastq	17b9e555e0a6d7b5351ebede4796c57b	HiSeq 2500	50	single
02192018-C11-NA18913.fastq.gz	fastq	324e8e16037f05fd8f113a859c46ed2f	HiSeq 2500	50	single
02192018-C12-NA19193.fastq.gz	fastq	f1a30b05e7a26f2105e54c188b61a10f	HiSeq 2500	50	single
02192018-D01-NA19193.fastq.gz	fastq	bbdb34a40792c0c51bc00cf8a0381f7f	HiSeq 2500	50	single
02192018-D02-NA19193.fastq.gz	fastq	5db0c7e26e3e2c44cb5de62882d60a78	HiSeq 2500	50	single
02192018-D03-NA19210.fastq.gz	fastq	b965171207243d4c43a2121d49904f58	HiSeq 2500	50	single
02192018-D04-NA18913.fastq.gz	fastq	7f25b02d1cf9cc1858c477e28e3181ad	HiSeq 2500	50	single
02192018-D05-NA19210.fastq.gz	fastq	22b87c5601c4f4a5b2e94c39d635a77e	HiSeq 2500	50	single
02192018-D06-NA18517.fastq.gz	fastq	29254d5e04786ac226210511d3a94474	HiSeq 2500	50	single
02192018-D07-NA18517.fastq.gz	fastq	f5ae2cbf2086f3788111b5a083731f0a	HiSeq 2500	50	single
02192018-D08-NA18913.fastq.gz	fastq	87ddf3d5ab6ef8aea03d65f3db6f4d9f	HiSeq 2500	50	single
02192018-D09-NA18517.fastq.gz	fastq	a709563bc283782830d94fe090c20801	HiSeq 2500	50	single
02192018-D10-NA19193.fastq.gz	fastq	a34e82c2961bc34875ccd2340216e04a	HiSeq 2500	50	single
02192018-D11-NA19210.fastq.gz	fastq	abbc8d100a9adcd91ffa61fefd7acc49	HiSeq 2500	50	single
02192018-D12-NA18913.fastq.gz	fastq	1f78707c7ddeb7d7efd0913f3f21fa1d	HiSeq 2500	50	single
02192018-E01-NA19210.fastq.gz	fastq	996f40523c238298d22725762c6fb5f9	HiSeq 2500	50	single
02192018-E02-NA18517.fastq.gz	fastq	2aeecabc5309945fd97863bc8b14aef5	HiSeq 2500	50	single
02192018-E03-NA18517.fastq.gz	fastq	1a4c38cc1d4d99e399b2f254f4a64efa	HiSeq 2500	50	single
02192018-E04-NA19193.fastq.gz	fastq	8a36b1ed69e1453fe75e744863bf83bf	HiSeq 2500	50	single
02192018-E05-NA18517.fastq.gz	fastq	9c5607fff6978588acb9d27796794d77	HiSeq 2500	50	single
02192018-E06-NA18517.fastq.gz	fastq	85a52a51029357eeffe3c24c17320ba1	HiSeq 2500	50	single
02192018-E07-NA18517.fastq.gz	fastq	45923b4e2dc9185dc1da4e1daf6ac7d5	HiSeq 2500	50	single
02192018-E08-NA18517.fastq.gz	fastq	a82b5658d1ba6ced67c95ffe3cf89fe2	HiSeq 2500	50	single
02192018-E09-NA18517.fastq.gz	fastq	cb0b4c6f0125851e9362160ea9cabdb9	HiSeq 2500	50	single
02192018-E10-NA19193.fastq.gz	fastq	1dcbaee73e877c90c7005ff1eca7416e	HiSeq 2500	50	single
02192018-E11-NA19193.fastq.gz	fastq	221f73a937bfea7b279262033f16f023	HiSeq 2500	50	single
02192018-E12-NA19210.fastq.gz	fastq	44adbbd6248d353a5cf7293ce973981c	HiSeq 2500	50	single
02192018-F01-NA18517.fastq.gz	fastq	9921e2f9e1eade7237550ba152010bf4	HiSeq 2500	50	single
02192018-F02-NA19210.fastq.gz	fastq	80de4de78130e1bd767cf05a9ab22b3e	HiSeq 2500	50	single
02192018-F03-NA19210.fastq.gz	fastq	6273fe583ce130071060a8e0d7c0abfe	HiSeq 2500	50	single
02192018-F04-NA18517.fastq.gz	fastq	85ff5f2e24f122e59a5030e3d5bf6a88	HiSeq 2500	50	single
02192018-F05-NA19193.fastq.gz	fastq	c17ec1ab04bc13e0c96a289140233467	HiSeq 2500	50	single
02192018-F06-NA19193.fastq.gz	fastq	c42b5562eebccacfafddc282625926ad	HiSeq 2500	50	single
02192018-F07-NA18517.fastq.gz	fastq	10c30582dd50bf82c2060985c6bb8e20	HiSeq 2500	50	single
02192018-F08-NA19193.fastq.gz	fastq	357f27814fd777146db1cd516e8bb86d	HiSeq 2500	50	single
02192018-F09-NA18913.fastq.gz	fastq	04f8b5ab83a253fb9661102b6ec2ee98	HiSeq 2500	50	single
02192018-F10-NA19193.fastq.gz	fastq	0a65fafc439db5c51b3775265a5b645f	HiSeq 2500	50	single
02192018-F11-NA19193.fastq.gz	fastq	3c5d5218b1005cf83f90f7bef48eff4c	HiSeq 2500	50	single
02192018-F12-NA19193.fastq.gz	fastq	c09418f2ad288e175b2b99cf66724f47	HiSeq 2500	50	single
02192018-G01-NA18517.fastq.gz	fastq	38dd6ae8b31569e05db9eea9fc850422	HiSeq 2500	50	single
02192018-G02-NA18517.fastq.gz	fastq	df4f81b0bf75befa7d4aef0ec3d92b91	HiSeq 2500	50	single
02192018-G03-NA19193.fastq.gz	fastq	3a76238c264a28b99589ce39db8edeb4	HiSeq 2500	50	single
02192018-G04-NA19210.fastq.gz	fastq	1fdb7d9ec463e7ce80fb9f1c71bc3e5d	HiSeq 2500	50	single
02192018-G05-NA19193.fastq.gz	fastq	9dddb7d223937c6fd1f986564fe5f244	HiSeq 2500	50	single
02192018-G06-NA19210.fastq.gz	fastq	6dc6d7e28a431ae5041e6c356d7e0a92	HiSeq 2500	50	single
02192018-G07-NA18913.fastq.gz	fastq	87b5eec235f039075104baf8a878b547	HiSeq 2500	50	single
02192018-G08-NA19210.fastq.gz	fastq	4cf07024bd7067e404a2ab3f61b0ee96	HiSeq 2500	50	single
02192018-G09-NA18913.fastq.gz	fastq	8d74e1e4e4093066b0b3d54bc84121a9	HiSeq 2500	50	single
02192018-G10-NA18913.fastq.gz	fastq	089cf76cb42098fce9e0af5ef2257696	HiSeq 2500	50	single
02192018-G11-NA19193.fastq.gz	fastq	df9d61e80b37ee1d03a14c95ad247c32	HiSeq 2500	50	single
02192018-G12-NA18517.fastq.gz	fastq	82779efd2671a3a60ba46c20d1fa83e2	HiSeq 2500	50	single
02192018-H01-NA19210.fastq.gz	fastq	66cef0d8f2e4c7e3cbb5110c80b698c5	HiSeq 2500	50	single
02192018-H02-NA18517.fastq.gz	fastq	81963ebf7b8307d4e45ed43a10b72011	HiSeq 2500	50	single
02192018-H03-NA19193.fastq.gz	fastq	f86095f057c19ffc2bb4bceb97e3b7c7	HiSeq 2500	50	single
02192018-H04-NA18517.fastq.gz	fastq	cfc50080c1e4d6daaa0ad2c25d3e9ce3	HiSeq 2500	50	single
02192018-H05-NA18913.fastq.gz	fastq	9c9daf8b63e480b4a971eb6922236330	HiSeq 2500	50	single
02192018-H06-NA19193.fastq.gz	fastq	5e511baf6bedd56c288f6695e4345da3	HiSeq 2500	50	single
02192018-H07-NA19193.fastq.gz	fastq	700434f06a51d2fc7544155ec8426b3e	HiSeq 2500	50	single
02192018-H08-NA18517.fastq.gz	fastq	304e46153352035ab793fc086b150606	HiSeq 2500	50	single
02192018-H09-NA19210.fastq.gz	fastq	de5a769a86db5c7eb95305c8b490ce6d	HiSeq 2500	50	single
02192018-H10-NA19193.fastq.gz	fastq	20eb9044810d53129303df1b2058dfc1	HiSeq 2500	50	single
02192018-H11-NA19210.fastq.gz	fastq	5df9b77dafefd14e8b24fa0a70dddf54	HiSeq 2500	50	single
02192018-H12-NA19193.fastq.gz	fastq	1a3564e4bc84b8ec3b921b5ce74a7932	HiSeq 2500	50	single
02202018-A01-NA19204.fastq.gz	fastq	d24a0968f304e0577a79ab0562d496d1	HiSeq 2500	50	single
02202018-A02-NA19159.fastq.gz	fastq	ad1ceed172b2fd6bd993ef40bae5545b	HiSeq 2500	50	single
02202018-A03-NA19159.fastq.gz	fastq	2b347b85a61db5610ee9012edb9bc9e8	HiSeq 2500	50	single
02202018-A04-NA19159.fastq.gz	fastq	3c61ab3fd95098f32ad21c9258d9e020	HiSeq 2500	50	single
02202018-A05-NA19159.fastq.gz	fastq	00e6ae04113c17b4856a8c69798e6c58	HiSeq 2500	50	single
02202018-A06-NA19159.fastq.gz	fastq	10eaf65a5c2533500338aaafb7c7f935	HiSeq 2500	50	single
02202018-A07-NA18913.fastq.gz	fastq	51641403bea0d36e41216d68e712747d	HiSeq 2500	50	single
02202018-A08-NA19204.fastq.gz	fastq	8cf02de98158c897c10b6c0179491a23	HiSeq 2500	50	single
02202018-A09-NA18913.fastq.gz	fastq	404211829022cacbf5696f48ab750eeb	HiSeq 2500	50	single
02202018-A10-NA19204.fastq.gz	fastq	190ce7eb3736a994f9865ac9a4c49521	HiSeq 2500	50	single
02202018-A11-NA18913.fastq.gz	fastq	6f5a03a7f71e6da78559ccbac88df23b	HiSeq 2500	50	single
02202018-A12-NA18913.fastq.gz	fastq	68fa2f9b73036da819e4c7688237fb2f	HiSeq 2500	50	single
02202018-B01-NA19159.fastq.gz	fastq	d192da56986d651f46dbf564a3abd5ac	HiSeq 2500	50	single
02202018-B02-NA19159.fastq.gz	fastq	a6ae293fb26af6a546714957d9482314	HiSeq 2500	50	single
02202018-B03-NA18913.fastq.gz	fastq	2ac840588801229986a08b34c2c85799	HiSeq 2500	50	single
02202018-B04-NA19204.fastq.gz	fastq	da770a9fa1d8c187a04948e40d580a80	HiSeq 2500	50	single
02202018-B05-NA19159.fastq.gz	fastq	a91ed74f129fe9440ba1d931c3d0d063	HiSeq 2500	50	single
02202018-B06-NA19159.fastq.gz	fastq	8f9543f810c11c1f311b7c10a8de3c90	HiSeq 2500	50	single
02202018-B07-NA19159.fastq.gz	fastq	b41982b20e9ef525fb9b73cb8cd01d40	HiSeq 2500	50	single
02202018-B08-NA19204.fastq.gz	fastq	9b2222d214ce84adaff42d47be048262	HiSeq 2500	50	single
02202018-B09-NA19159.fastq.gz	fastq	a81131e23e846f4d3227ec043f4aa750	HiSeq 2500	50	single
02202018-B10-NA19204.fastq.gz	fastq	413835069c30a0d687bc8471163a73ba	HiSeq 2500	50	single
02202018-B11-NA18913.fastq.gz	fastq	d72804d130e0c83eb4eea37b99045b28	HiSeq 2500	50	single
02202018-B12-NA19159.fastq.gz	fastq	39019b79c28e4211ac78cecfb3753f4a	HiSeq 2500	50	single
02202018-C01-NA19204.fastq.gz	fastq	ed5128b4a983701caa29669921660ff3	HiSeq 2500	50	single
02202018-C02-NA19159.fastq.gz	fastq	5dad71b6e4307cfa31e2d244a212f208	HiSeq 2500	50	single
02202018-C03-NA18913.fastq.gz	fastq	5986e7d07fa2d2fc8a218a2850673a93	HiSeq 2500	50	single
02202018-C04-NA19159.fastq.gz	fastq	21e83203bd13874719f254750dfa09f6	HiSeq 2500	50	single
02202018-C05-NA19203.fastq.gz	fastq	b4448b2f964b16abf3dd7f9578e65bc8	HiSeq 2500	50	single
02202018-C06-NA19204.fastq.gz	fastq	5037c95f074f4adb40b6698845a001ca	HiSeq 2500	50	single
02202018-C07-NA19203.fastq.gz	fastq	98310381927e34c69dac75290f734c9f	HiSeq 2500	50	single
02202018-C08-NA19204.fastq.gz	fastq	4e8e199a22d62197cd42914bfb834a54	HiSeq 2500	50	single
02202018-C09-NA19204.fastq.gz	fastq	c96d005a22fc5a37b389146ba7d03ca8	HiSeq 2500	50	single
02202018-C10-NA19159.fastq.gz	fastq	f4797d3b827fc50a30cfd8223c0b6d06	HiSeq 2500	50	single
02202018-C11-NA19203.fastq.gz	fastq	9a7b3677d9eda5e219ac5ab723524209	HiSeq 2500	50	single
02202018-C12-NA19159.fastq.gz	fastq	8c3bba9ef44b54fce915c551e420a961	HiSeq 2500	50	single
02202018-D01-NA19159.fastq.gz	fastq	a7752db2629f4ff68db24c6bf9948bbb	HiSeq 2500	50	single
