name	title	source	organism	experiment	well	individual	batch	description	molecule	processed1	processed2	processed3	processed4	processed5	processed6	raw
Sample 0001	02192018-A01-NA18517	LCL-derived iPSC	Homo sapiens	02192018	A01	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A01-NA18517.fastq.gz
Sample 0002	02192018-A02-NA18913	LCL-derived iPSC	Homo sapiens	02192018	A02	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A02-NA18913.fastq.gz
Sample 0003	02192018-A03-NA19210	LCL-derived iPSC	Homo sapiens	02192018	A03	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A03-NA19210.fastq.gz
Sample 0004	02192018-A04-NA18913	LCL-derived iPSC	Homo sapiens	02192018	A04	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A04-NA18913.fastq.gz
Sample 0005	02192018-A05-NA19193	LCL-derived iPSC	Homo sapiens	02192018	A05	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A05-NA19193.fastq.gz
Sample 0006	02192018-A06-NA19193	LCL-derived iPSC	Homo sapiens	02192018	A06	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A06-NA19193.fastq.gz
Sample 0007	02192018-A07-NA18913	LCL-derived iPSC	Homo sapiens	02192018	A07	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A07-NA18913.fastq.gz
Sample 0008	02192018-A08-NA18913	LCL-derived iPSC	Homo sapiens	02192018	A08	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A08-NA18913.fastq.gz
Sample 0009	02192018-A09-NA19193	LCL-derived iPSC	Homo sapiens	02192018	A09	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A09-NA19193.fastq.gz
Sample 0010	02192018-A10-NA18517	LCL-derived iPSC	Homo sapiens	02192018	A10	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A10-NA18517.fastq.gz
Sample 0011	02192018-A11-NA18913	LCL-derived iPSC	Homo sapiens	02192018	A11	NA18913	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A11-NA18913.fastq.gz
Sample 0012	02192018-A12-NA19210	LCL-derived iPSC	Homo sapiens	02192018	A12	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-A12-NA19210.fastq.gz
Sample 0013	02192018-B01-NA18517	LCL-derived iPSC	Homo sapiens	02192018	B01	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B01-NA18517.fastq.gz
Sample 0014	02192018-B02-NA19210	LCL-derived iPSC	Homo sapiens	02192018	B02	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B02-NA19210.fastq.gz
Sample 0015	02192018-B03-NA18517	LCL-derived iPSC	Homo sapiens	02192018	B03	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B03-NA18517.fastq.gz
Sample 0016	02192018-B04-NA19193	LCL-derived iPSC	Homo sapiens	02192018	B04	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B04-NA19193.fastq.gz
Sample 0017	02192018-B05-NA18517	LCL-derived iPSC	Homo sapiens	02192018	B05	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B05-NA18517.fastq.gz
Sample 0018	02192018-B06-NA18517	LCL-derived iPSC	Homo sapiens	02192018	B06	NA18517	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B06-NA18517.fastq.gz
Sample 0019	02192018-B07-NA19210	LCL-derived iPSC	Homo sapiens	02192018	B07	NA19210	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B07-NA19210.fastq.gz
Sample 0020	02192018-B08-NA19193	LCL-derived iPSC	Homo sapiens	02192018	B08	NA19193	b6		polyA RNA	eset.rds	scqtl-counts.txt.gz	scqtl-annotation.txt	scqtl-annotation-description.txt	quality-single-cells.txt	genes-pass-filter.txt	02192018-B08-NA19193.fastq.gz
