sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03302017-A01	03302017	A01	1	0.378796701	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A02	03302017	A02	1	1.64870246	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A03	03302017	A03	1	1.849390956	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A04	03302017	A04	1	0.888974333	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A05	03302017	A05	1	0.412734262	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A06	03302017	A06	1	1.455062866	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A07	03302017	A07	1	1.574765956	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A08	03302017	A08	1	1.552390927	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A09	03302017	A09	1	1.580766915	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A10	03302017	A10	2	1.777161395	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A11	03302017	A11	1	1.817033088	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-A12	03302017	A12	1	1.591100609	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B01	03302017	B01	1	0.173916856	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B02	03302017	B02	1	1.492103325	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B03	03302017	B03	1	1.83959633	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B04	03302017	B04	1	1.948645356	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B05	03302017	B05	1	1.457575828	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B06	03302017	B06	1	0.344694555	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B07	03302017	B07	1	1.665285579	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B08	03302017	B08	1	1.959558679	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B09	03302017	B09	1	0.660861649	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B10	03302017	B10	1	0.844341825	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B11	03302017	B11	1	1.75731457	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-B12	03302017	B12	1	1.603095095	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-C01	03302017	C01	1	0.825409949	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-C02	03302017	C02	1	1.754914542	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-C03	03302017	C03	0	0	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-C04	03302017	C04	1	1.829526396	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-C05	03302017	C05	1	1.582154659	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-C06	03302017	C06	1	0.843428337	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-C07	03302017	C07	1	1.459435515	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
