sample	experiment	well	batch	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
08212017-A01	08212017	A01	b2	1	1.952499869	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A02	08212017	A02	b2	1	2.029062124	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A03	08212017	A03	b2	1	2.008684762	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A04	08212017	A04	b2	1	1.907044254	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A05	08212017	A05	b2	1	0.615452887	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A06	08212017	A06	b2	1	1.396104851	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A07	08212017	A07	b2	1	1.746916435	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A08	08212017	A08	b2	1	1.909022763	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A09	08212017	A09	b2	1	1.445412061	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A10	08212017	A10	b2	2	1.865721049	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A11	08212017	A11	b2	1	1.20270509	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-A12	08212017	A12	b2	1	1.876824749	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B01	08212017	B01	b2	1	1.53441428	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B02	08212017	B02	b2	1	1.494254552	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B03	08212017	B03	b2	1	1.953768603	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B04	08212017	B04	b2	1	0.541598429	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B05	08212017	B05	b2	1	1.404905521	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B06	08212017	B06	b2	1	0.427858633	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B07	08212017	B07	b2	1	1.429049319	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B08	08212017	B08	b2	1	0.992859514	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B09	08212017	B09	b2	2	1.953214507	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B10	08212017	B10	b2	1	1.879324527	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B11	08212017	B11	b2	1	1.484389495	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-B12	08212017	B12	b2	1	1.505775201	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C01	08212017	C01	b2	1	1.975396894	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C02	08212017	C02	b2	1	0.403017729	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C03	08212017	C03	b2	1	0.411355925	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C04	08212017	C04	b2	1	0.539590529	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C05	08212017	C05	b2	1	0.767200753	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C06	08212017	C06	b2	1	1.324912467	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C07	08212017	C07	b2	1	2.088361247	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C08	08212017	C08	b2	1	1.846142966	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C09	08212017	C09	b2	1	1.214171189	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C10	08212017	C10	b2	1	0.54427815	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C11	08212017	C11	b2	1	0.460361472	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-C12	08212017	C12	b2	1	2.122095505	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D01	08212017	D01	b2	1	2.121167622	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D02	08212017	D02	b2	1	1.19362318	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D03	08212017	D03	b2	1	2.31942773	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D04	08212017	D04	b2	1	2.125636917	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D05	08212017	D05	b2	1	0.390547747	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D06	08212017	D06	b2	1	2.057094962	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D07	08212017	D07	b2	1	0.830131276	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D08	08212017	D08	b2	1	2.36364298	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D09	08212017	D09	b2	1	2.191957311	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D10	08212017	D10	b2	1	2.277890698	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D11	08212017	D11	b2	1	1.634623002	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-D12	08212017	D12	b2	1	0.372623938	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E01	08212017	E01	b2	2	1.001144401	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E02	08212017	E02	b2	1	2.047841448	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E03	08212017	E03	b2	1	1.584684842	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E04	08212017	E04	b2	1	1.726799985	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E05	08212017	E05	b2	1	2.383237702	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E06	08212017	E06	b2	1	1.370981425	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E07	08212017	E07	b2	0	0.191842969	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E08	08212017	E08	b2	1	2.352210988	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E09	08212017	E09	b2	2	1.822754242	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E10	08212017	E10	b2	1	2.336510634	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E11	08212017	E11	b2	1	1.775842036	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-E12	08212017	E12	b2	2	2.297722439	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F01	08212017	F01	b2	1	1.821608932	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F02	08212017	F02	b2	1	2.160813516	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F03	08212017	F03	b2	1	1.984733057	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F04	08212017	F04	b2	1	1.884379381	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F05	08212017	F05	b2	1	2.344748877	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F06	08212017	F06	b2	1	0.301736269	FALSE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F07	08212017	F07	b2	1	2.1127185	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F08	08212017	F08	b2	2	1.971750269	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F09	08212017	F09	b2	1	0.870042038	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F10	08212017	F10	b2	1	1.839848318	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
08212017-F11	08212017	F11	b2	1	2.153535943	TRUE	NA19128	NA18507	NA18508	NA18507	0	0	50x dilution	3
