sample	experiment	well	id	raw	umi	mapped	unmapped	reads_ce	reads_dm	reads_ercc	reads_hs	molecules	mol_ce	mol_dm	mol_ercc	mol_hs
03302017-D10_S814	03302017	D10	S814	33968	18296	16111	2185	1125	5811	17	9158	2570	125	528	17	1900
03172017-A11_S395	03172017	A11	S395	919300	587356	460302	127054	436	31564	72	428230	55014	228	3785	69	50932
04132017-B03_S879	04132017	B03	S879	786849	479560	393533	86027	260	41032	59665	292576	30310	157	2773	2641	24739
03172017-H12_S480	03172017	H12	S480	829154	536921	431628	105293	346	33618	66	397598	45052	202	3407	63	41380
04132017-G07_S943	04132017	G07	S943	478981	299414	236353	63061	2113	35011	45605	153624	19987	170	2696	2528	14593
03232017-H04_S664	03232017	H04	S664	542965	277327	218270	59057	1731	9430	20	207089	33716	355	1230	20	32111
03312017-H08_S1052	03312017	H08	S1052	44649	18342	10375	7967	2250	1601	37	6487	2852	301	227	37	2287
04052017-B03_S303	04052017	B03	S303	237964	127493	102960	24533	308	3119	0	99533	33542	101	1131	0	32310
03162017-D03_S231	03162017	D03	S231	945702	675586	519671	155915	516	37210	0	481945	38205	249	2323	0	35633
04202017-G10_S1138	04202017	G10	S1138	532480	362244	297885	64359	728	11750	2172	283235	48642	201	1998	271	46172
04052017-A06_S294	04052017	A06	S294	515769	323626	265066	58560	183	11076	0	253807	36964	119	1635	0	35210
03172017-A07_S391	03172017	A07	S391	969700	648080	513754	134326	542	57182	38	455992	41411	192	4070	35	37114
03172017-F11_S455	03172017	F11	S455	223406	141053	117338	23715	381	85116	21	31820	8615	66	3810	21	4718
03312017-A03_S963	03312017	A03	S963	515618	300467	229940	70527	4003	2342	37	223558	24161	453	401	34	23273
03162017-D06_S234	03162017	D06	S234	934923	622573	455667	166906	4882	38264	0	412521	39643	377	2851	0	36415
04202017-F03_S1119	04202017	F03	S1119	356030	239211	189635	49576	832	9040	1931	177832	38595	190	1821	274	36310
03232017-C10_S610	03232017	C10	S610	737090	413092	315571	97521	1624	8602	24	305321	45544	391	1255	22	43876
03172017-H03_S471	03172017	H03	S471	524032	331389	244627	86762	411	76068	86	168062	19421	128	3928	83	15282
03162017-A10_S202	03162017	A10	S202	755163	548735	442114	106621	1218	39318	0	401578	34942	235	2604	0	32103
04072017-D08_S524	04072017	D08	S524	750992	364429	270256	94173	333	19059	12533	238331	26033	197	1319	638	23879
04132017-A05_S869	04132017	A05	S869	372705	242110	203274	38836	132	16507	24463	162172	26901	89	2179	2174	22459
03302017-D07_S811	03302017	D07	S811	65756	39952	34150	5802	2185	9267	6	22692	3357	171	486	6	2694
04202017-B01_S1069	04202017	B01	S1069	309535	210811	170265	40546	428	6090	1087	162660	43004	154	1673	239	40938
04132017-F11_S935	04132017	F11	S935	577388	347509	282248	65261	405	38017	54830	188996	24287	133	2650	2619	18885
04052017-D12_S336	04052017	D12	S336	418874	270356	212716	57640	246	7773	0	204697	34218	123	1292	0	32803
04052017-B09_S309	04052017	B09	S309	489332	314302	255693	58609	1153	11360	0	243180	36331	154	1708	0	34469
03232017-F07_S643	03232017	F07	S643	1013441	576902	464253	112649	1275	5990	50	456938	78816	468	1307	50	76991
03172017-H11_S479	03172017	H11	S479	658335	421337	333425	87912	259	34009	52	299105	36167	144	3254	52	32717
03172017-G04_S460	03172017	G04	S460	1380125	916932	702205	214727	472	63389	88	638256	52961	268	4055	81	48557
03172017-B04_S400	03172017	B04	S400	1273609	835302	651008	184294	583	37701	99	612625	65059	300	3790	86	60883
03172017-G06_S462	03172017	G06	S462	1105240	741462	584688	156774	457	43483	62	540686	55530	264	3793	61	51412
03312017-C08_S992	03312017	C08	S992	1042682	616901	506593	110308	1837	2011	77	502668	58470	461	500	76	57433
04072017-E08_S536	04072017	E08	S536	1226816	641955	500376	141579	540	17184	20850	461802	49596	271	1502	1016	46807
04132017-H07_S955	04132017	H07	S955	858756	535312	434238	101074	4709	33723	48405	347401	39069	337	2665	2576	33491
04072017-H05_S569	04072017	H05	S569	1309467	664220	486941	177279	566	20935	15056	450384	49445	318	1705	767	46655
04072017-E10_S538	04072017	E10	S538	1354936	711961	515838	196123	520	21641	15219	478458	47619	319	1737	668	44895
03232017-C06_S606	03232017	C06	S606	275578	136249	88436	47813	2686	13395	50	72305	13185	372	1252	18	11543
03302017-E10_S826	03302017	E10	S826	608235	401138	320600	80538	3911	4125	54	312510	35976	401	667	54	34854
03312017-C06_S990	03312017	C06	S990	1184564	704554	566374	138180	2731	2951	78	560614	51596	545	577	74	50400
04132017-C11_S899	04132017	C11	S899	890868	556600	449151	107449	2863	33404	47819	365065	42546	315	2802	2597	36832
03232017-E06_S630	03232017	E06	S630	702213	365144	276700	88444	1396	7099	39	268166	45543	395	1086	39	44023
04072017-H06_S570	04072017	H06	S570	620193	290692	203898	86794	353	18282	10972	174291	23704	195	1446	644	21419
03302017-A03_S771	03302017	A03	S771	979296	617445	498760	118685	1406	5356	72	491926	46410	423	772	70	45145
04052017-F05_S353	04052017	F05	S353	769066	440880	340249	100631	234	6709	0	333306	59342	187	1405	0	57750
03312017-H10_S1054	03312017	H10	S1054	33973	14033	9024	5009	2468	1386	65	5105	2386	311	230	62	1783
03162017-E03_S243	03162017	E03	S243	186792	86451	57253	29198	275	8767	0	48211	8855	76	1074	0	7705
03162017-E11_S251	03162017	E11	S251	510234	332150	261106	71044	559	99373	0	161174	20017	174	5896	0	13947
04072017-D09_S525	04072017	D09	S525	1017589	542484	408310	134174	354	18519	12732	376705	40618	218	1472	656	38272
03302017-H06_S858	03302017	H06	S858	505245	336314	261817	74497	1124	3431	41	257221	39594	299	606	39	38650
04052017-G06_S366	04052017	G06	S366	507231	292933	232905	60028	1105	4483	0	227317	58901	214	1287	0	57400
04142017-C04_S700	04142017	C04	S700	808452	554964	463969	90995	2865	2133	36527	422444	55448	523	485	2398	52042
