sample	chip_id	chipmix	freemix	snps	reads	avg_dp	min_dp	snps_w_min
03162017-A01_S193	NA19098	0.29581	0.16808	311848	718	0.00	1	589
03162017-A02_S194	NA18505	0.13881	0.05019	311848	3274	0.01	1	1874
03162017-A03_S195	NA18856	0.70950	0.00000	311848	290	0.00	1	263
03162017-A04_S196	NA19098	0.23550	0.24901	311848	789	0.00	1	477
03162017-A05_S197	NA18520	0.59094	0.29020	311848	536	0.00	1	415
03162017-A06_S198	NA18520	0.18003	0.12005	311848	2984	0.01	1	1751
03162017-A07_S199	NA19098	0.12541	0.06535	311848	2622	0.01	1	1406
03162017-A08_S200	NA18505	0.15394	0.07414	311848	2885	0.01	1	1673
03162017-A09_S201	NA18505	0.13328	0.07912	311848	3229	0.01	1	1941
03162017-A10_S202	NA18520	0.19454	0.10782	311848	2500	0.01	1	1517
03162017-A11_S203	NA18520	0.67123	0.11641	311848	563	0.00	1	432
03162017-A12_S204	NA18520	0.18206	0.05051	311848	2134	0.01	1	1381
03162017-B01_S205	NA19098	0.20116	0.14293	311848	2772	0.01	1	1603
03162017-B02_S206	NA18505	0.56362	0.49992	311848	824	0.00	1	581
03162017-B03_S207	NA18520	0.25411	0.11181	311848	3431	0.01	1	2115
03162017-B04_S208	NA18520	0.63323	0.00000	311848	272	0.00	1	226
03162017-B05_S209	NA18520	0.28210	0.19099	311848	1797	0.01	1	1136
03162017-B06_S210	NA18523	0.33885	0.00000	311848	167	0.00	1	151
03162017-B07_S211	NA18852	0.18673	0.08609	311848	2722	0.01	1	1613
03162017-B08_S212	NA18505	0.72232	0.00000	311848	486	0.00	1	354
03162017-B09_S213	NA18852	0.23443	0.04793	311848	3374	0.01	1	1776
03162017-B10_S214	NA18520	0.15869	0.15528	311848	2581	0.01	1	1549
03162017-B11_S215	NA18505	0.40573	0.23573	311848	4997	0.02	1	2868
03162017-B12_S216	NA18505	0.16949	0.10948	311848	2690	0.01	1	1455
03162017-C01_S217	NA18520	0.26178	0.49992	311848	536	0.00	1	425
03162017-C02_S218	NA18520	0.18106	0.12771	311848	3651	0.01	1	1966
03162017-C03_S219	NA18505	0.21982	0.17729	311848	3135	0.01	1	1754
03162017-C04_S220	NA18520	0.18395	0.05183	311848	2779	0.01	1	1569
